emotion,lyric
행복,spotlight 터지는 big team
행복,이느낌 그대로 계속 가 이도로위로 직진
행복,i want to go morning drive with you
행복,no problem
행복,When I Fall In Love
행복,그대와 함께 한다면
행복,곧 사라질 꿈이라도
행복,달콤하기만 하죠
행복,지금 이 순간
행복,난 순간을 믿어요
행복,When I Fall In Love With You
행복,어제부터 난 확신했죠
행복,매일 그린 그림이 바로 당신이란걸
행복,내일은 꼭 얘기할래요
행복,아무 이유도 없이 보고싶었다는걸
행복,사실 혼자 많이 설레였어요
행복,그대는 아마 언제인지 모르겠지만
행복,앞으로도 많이 궁금해질 것 같아요
행복,당장이라도 그대를 껴안고만 싶은데
행복,"Oh, When I Fall In Love"
행복,사실 조금은 겁이 나요
행복,우리 영화에도 엔딩이 있을까요
행복,그대 내 손을 꼭 잡아줘
행복,같이 걷는 이 길 덕분에 따뜻해요
행복,좋은 일만 매일 있을거에요
행복,날 보며 웃는 그대 그 예쁜 모습처럼
행복,앞으로는 아직 걱정 안하기로 해요
행복,난 당장이라도 그대를 껴안고만 싶은데
행복,늘 그대였죠
행복,부푼 기대로 잠 못 들게 했죠
행복,왠지 우린 느낌 좋아
행복,부드럽게
행복,"Oh, 당장이라도 그대를 껴안고만 싶은데"
행복,(껴안고만 싶은데)
행복,너의 그 한 마디 말도 그 웃음도
행복,나에겐 커다란 의미
행복,너의 그 작은 눈빛도
행복,쓸쓸한 뒷모습도 나에겐 힘겨운 약속
행복,너의 모든 것은 내게로 와
행복,풀리지 않는 수수께끼가 되네
행복,슬픔은 간이역에 코스모스로 피고
행복,스쳐 불어온 넌 향긋한 바람
행복,나 이제 뭉게구름 위에 성을 짓고
행복,널 향해 창을 내리 바람 드는 창을
신나는,여기 붙어라 모두 모여라
신나는,WE GON’ PARTY LIKE 리리리라라라
신나는,맘을 열어라 머릴 비워라
신나는,불을 지펴라 리리리라라라
신나는,정답은 묻지 말고 그대로 받아들여
신나는,느낌대로 가 ALRIGHT
신나는,하늘을 마주하고 두 손을 다 위로
신나는,저 위로 날뛰고 싶어 OH
신나는,나나나나나 나나나나나
신나는,WOW FANTASTIC BABY
신나는,DANCE (우후우)
신나는,I WANNA DAN DAN DAN DAN DANCE
신나는,FANTASTIC BABY
신나는,이 난장판에 HEY 끝판 왕 차례 HEY
신나는,땅을 흔들고 3분으론 불충분한 RACE WAIT
신나는,분위기는 과열 HUH
신나는,CATCH ME ON FIRE HUH
신나는,진짜가 나타났다
신나는,나나나나
신나는,하나부터 열까지 모든 게 다 한 수위
신나는,모래벌판 위를 미친듯이 뛰어봐도 거뜬한우리
신나는,하늘은 충분히 너무나 푸르니까
신나는,아무것도 묻지 말란 말이야
신나는,느끼란 말이야 내가 누군지
신나는,네 심장소리에 맞게 뛰기 시작해
신나는,막이 끝날 때까지 YE
신나는,I CAN’T BABY DON’T’ STOP THIS
신나는,오늘은 타락해 (미쳐 발악해) 가는거야
신나는,BOOMSHAKALAKA
신나는,DAN DAN DAN DAN DANCE
신나는,날 따라 잡아볼 테면 와봐
신나는,난 영원한 딴따라
신나는,오늘 밤 금기란 내겐 없어
신나는,mama just let me be your lover
신나는,이 혼란 속을 넘어어어어 나나나나나
신나는,머리끝부터 발끝까지 비쥬얼은 쇼크
신나는,내 감각은 소문난 꾼 앞서가는 촉
신나는,남들보다는 빠른 걸음
신나는,차원이 다른 젊음 얼음얼음얼음
신나는,HOLD UP 나나나나나
신나는,I CAN’T BABY DON’T STOP THIS
신나는,오늘은 타락해 (미쳐 발악해) 가는거야 (아아아아아아아아아아아)
신나는,다 같이 놀자 YE YE YE
신나는,다 같이 뛰자 YE YE YE
신나는,다 같이 돌자 YE YE YE
신나는,다 같이 가자 “WOW FANTASTIC BABY”
신나는,Supermagic Supermagic Supermagic
신나는,Boom Boom Boom Clap
신나는,Boom Boom Boom
신나는,Cash Money Power Magic
신나는,Soul Music Business Magic
신나는,Supreme Team Popping Magic
신나는,Real Lady Swag Magic
신나는,준비된 Stage 자 Dancing
신나는,움직이네 품위 챙기며
신나는,버티는게 불편하겠지
신나는,점잔 빼면서 꼭 펭귄처럼
신나는,걸어다니는 것 대신
신나는,베일에 쌓인 너의 개인기
신나는,내일이 되기 전에 미리미리 꺼내
신나는,이제부터 Magic Supermagic
신나는,두 손 머리위로 들어 봐봐
신나는,미친 듯이 흔들어 봐봐
신나는,미쳐보기로 한 우리 모두
신나는,다 발악해 봐봐 다 나와
신나는,다 발악해 이건 너의 ma ma magic
신나는,La la la la la lala la la
신나는,la la la la
신나는,La la la la la la la la la
신나는,Supermagic x2
신나는,움직여 움직여
신나는,움직여 움직여 (here we go)
신나는,1 2 Click pow
신나는,원 없이 느끼는 Big bounce
신나는,널 춤추게 해 hit it now
신나는,뭔가 될 만한 느낌이 와
신나는,스타가 된 듯 너에게 빗발치는
신나는,시선에 튕기는 몸은 마치 Ping pong
신나는,showmanship이 넘치는 이 밤
신나는,무대를 덮치는 넌 귀여운 킹콩
신나는,놀자 놀자 더 놀아 놀아 놀아 놀아 놀아 놀아 놀아
신나는,놀자 놀자 더 놀아 놀아 놀아 놀아 Let's go
신나는,맑은 하늘 아래
신나는,좋은 느낌이네
신나는,Hot 한 summer party
신나는,Champagne 한 모금해
신나는,살맛이 나네 내일이 밝아오네
신나는,하루 종일 I could do this all day
신나는,여름엔 we gon celebrate
신나는,It’s your birthday
신나는,Like It’s your birthday
신나는,It’s your birthday yeah we finna celebrate
신나는,다 너를 보러 왔어 진정한 celebrity
신나는,햇빛은 쨍쨍해서 시원하게 입었지
신나는,아니지 박재범이라서 웃통을 벗었지 oh lord
신나는,정말이야 정말이야
신나는,나의 시야 안엔 너뿐이야 mamasita
신나는,술맛까지 달콤하지 drink sangria
신나는,기분 좋아 카라 세워 call me mister
신나는,mister mister 옥상 수영장에서 셀카 찍어
신나는,싱가폴은 내가 알지 넌 오빠만 믿어
신나는,Yeah I need a Cha Cha beat boy
신나는,AOMG ILLY hot 하지 boy
신나는,Lets get it get it hit it hit it
신나는,Seattle 2 Seoul yeah that’s my city city
신나는,Ugly Duck 도 등장해 pretty women is all I see
신나는,우리가 빠지면 party가 아니지
신나는,다시 태어난 듯한 기분
신나는,산뜻한 기운
신나는,축하하는 일은 정말 행복한 일
신나는,즐겨 이런 게 사는 맛이군
신나는,맛있는 음식들과 늘 반가운 친구들
신나는,다들 아까운 시간들 쪼개가며 일하느라 고생했어
신나는,celebrate 건배 넌 대접받을 자격 있어
신나는,지나버린 힘든 기억은 잊어
신나는,chillin’ like a villain
신나는,웃을 일 뿐일 거야 피곤하면 쉬어
신나는,야 야 억지로 움직일 필요 없네
신나는,Crush처럼 멍 때려
신나는,오늘은 그래도 돼
신나는,before sunset
신나는,낮술에 일광욕 또 아름다운 그대
신나는,영원했으면 해
신나는,Everyday is your birthday
신나는,Ok it's your birthday
신나는,오늘 밤에 파티해
신나는,Pop that champagne shake
신나는,밤이 깊어가도 Hot해 완전
신나는,마치 방금 나온 pan cake
신나는,아침 해가 막 뜰 때까지
신나는,I could do this all day
신나는,밤새도록 놀자 우디가 빠지면 이젠
신나는,party가 아니지 no way
신나는,술 따러 기분 좋아
신나는,Prr Prr Prr Prrrrr!
신나는,Moves like jagger 너와 춤을
신나는,추고 싶어 Ra PaPa PamPam!
신나는,"Yeah Positive mind, Positive vibe"
신나는,모두가 다 행복하길 바래
신나는,Like it’s your Birthday
신나는,너의 매일이 바뀌기를 바래 난
신나는,Like it's your Birthday YH~HA~
신나는,쓸데없는 걱정은 뒤로해
신나는,이 분위기 방해 안 하기로 해
신나는,한 여름 아니면 어때
신나는,어디 있든 뜨겁게
신나는,이 순간을 기억하고 싶은 걸
신나는,어디야? 빨리 나와! uh!
신나는,빼지 좀 말고 대충 걸쳐 입고
신나는,야 놀자! yeah! 나와봐!
신나는,썸 타는 이 밤 여름이 너무 길잖아
신나는,압구정 한강으로 바람 쐬러 갈래?
신나는,아니면 시원하게 한잔하러 갈래?
신나는,we rockin' we rollin' don't stop it just keep movin'
신나는,Ya! 힙 한 리듬과 노랜 필수!
신나는,Can't stop 오늘은 하루 종일 Party!
신나는,just dancing no one's watchin'
신나는,Oh oh oh oh Oh~
신나는,느낌 가는 대로 바람이 부는 대로
신나는,맘대로 Baby 어디든 떠나
신나는,태양은 식지 않아 저 달도 지지 않아
신나는,괜찮아 오늘만은 야 놀자
신나는,야 놀자 야 놀자 야 놀자
신나는,(movin' right on time)
신나는,어디야? 여긴 지금!
신나는,모르겠어 난 지구야 별이야?
신나는,대충 바른 립 부시시한 머리에
신나는,No make up이면 뭐 어때
신나는,오늘 하루만! oh
신나는,느낌 가는 대로 바람 부는 대로
신나는,어디든 떠나 Woo~Yeah
신나는,그대 있는 곳 어디든 달려가 달려가
신나는,저 푸른 한강에 집 짓고 살고파 살고파
신나는,트로트랩 비가오나 눈이오나
신나는,트로트랩 고달픈 인생이지만
신나는,트로트랩 돈벼락이 쏟아진다
신나는,트로트랩 트로트랩 트로트랩 트로트랩
신나는,난 계속 돈이 따라와서 말을 걸어와
신나는,넌 내가 아니라서 전부 이해 못해 다
신나는,Diamonds on me dancing
신나는,내 재능은 더 크지
신나는,돈이 내게 오지
신나는,Yeah i know i deserve it
신나는,이제 내 몸엔 디자이너 도배
신나는,니 옷들은 안 봐도 뻔해
신나는,나는 챙겨 내 돈을 양손에
신나는,나는 여전해 절대 안 변해
신나는,우린 불러 신바람 흥이 넘치는구나
신나는,춤을 춰봐 이 가락에 맞춰서 모두 다
신나는,이태원 강남부터 전국 팔도 마을회관
신나는,이젠 NO.1 어르신들 손주 사윗감
신나는,그대를 향해 달리다 보니 어느새 여기까지 왔네
신나는,이젠 더 많이 원하게 돼버렸기 때문에 더 달려야 해
신나는,신사임당이 속삭이네 U deserve more
신나는,So 미친 듯 미친 듯 미친 듯이
신나는,Keep it up keep it up keep it up yeah
신나는,아무것도 안 했는데 돈이 들어와
신나는,아이고 이거 정말 큰일 났구나
신나는,구찌 루이비통 발렌시아가
신나는,입으니깐 춤이 절로 나온다
신나는,내 음악은 마침내 춤추게 만들어 할머니 할아버지
신나는,난 저 푸른 한강에 집 짓고 살 거야 김씨 표류기
신나는,고달픈 인생 미소를 짓자 세 살 버릇 여든까지
신나는,트로트랩 이 노랠 들으면 부자 돼 내가 약속하지
신나는,그대~
신나는,Let's GO
신나는,Yng & rich 이번엔 트로트랩
신나는,딩고와 Collaborating
신나는,트로트건 랩이건 손대면 띵곡이 돼
신나는,강남 이태원에 Playing
신나는,없는걸 자랑했다거나 가짜로 Flex
신나는,한 적은 없지 여태 Yeah
신나는,넘치는 재능 내 재주 그래서 연예인보단 탤런트네 이 얜
신나는,올라 내 Dollar 온종일 팔려 불어나 Whole lotta commas
신나는,저 소셜에 커머스 짜식들 속 마음은
신나는,아마 “원해 저 Diamonds”
신나는,난 무시해 내 길을 거닐어 남행열차처럼 100 Up
신나는,탬버린 탬버린 탬버린 노래교실 현미쌤처럼 Turn it up
신나는,트로트 트랩 ish Rollie와 AP 손목이 샤방샤방
신나는,이런 내 모습을 몇 년 전 내가 보면 장윤정처럼 어머나
신나는,I gotta run my money up like the treadmill
신나는,보여줘 클라쓰 마치 새로이
신나는,Hey hey hey hey
신나는,뜨거운 리듬에 가슴이 뛰잖아
신나는,달아올라 지금 내 심장이
신나는,Come on shake it
신나는,너의 본능을 깨워
신나는,이 시간이 지나가기 전에
신나는,A-ya-ya
신나는,오늘 밤 나는 Dancing King
신나는,나에게 빠져들어
신나는,오늘 밤 나와 Dance all night
신나는,Oh
신나는,지루했던 하룰 벗어 던져 버리고
신나는,내 안에 잠들어 있던 흥은 챙기고
신나는,올라타 봐 여기 리듬이란 마법에
신나는,Senorita!
신나는,깜짝 놀랄 밤을 선물해 줄게
신나는,서툰 몸짓에 너를 맡겨 그냥 미쳐
신나는,(Ooh ah ah ah ah ah)
신나는,지친 가슴에 불을 당겨 함께 춤을 춰
신나는,Cuz tonight
신나는,Ah
신나는,짜증나는 일들 모두 잊고 싶을 때
신나는,고민 말고 그냥 나를 찾아오면 돼
신나는,Yeah
신나는,맘보 탱고 룸바 삼바 뭐든 말만 해
신나는,Buona sera!
신나는,멋진 세상으로 초대해 줄게
신나는,이 시간만은 모두 잊어 함께 춤을 춰
신나는,(망설이지마)
신나는,(달아올라)
신나는,Come on shake it 너의 본능을 깨워
신나는,(함께 흔들어)
신나는,(Oh yeah)
신나는,Shake it to the left
신나는,Now shake it to the right
신나는,달이 질 때까지 널 멈추지는 마
신나는,Shake your body oh my
신나는,Dancing all night
신나는,네게 눈이 먼 난 널 보낼 수 없어
신나는,Awoooo
신나는,어차피 한 번 사는 인생이잖아
신나는,달려 볼까 오늘 저 끝까지
신나는,지금 우린 이대로 행복해
신나는,Hey hey
신나는,Hey
신나는,엔도르핀 에너지
신나는,Running deep through my brain
신나는,춤을 춰 Let's go
신나는,아이콘 Make'em burn
신나는,어딜 비벼 이 친구들아
신나는,우리 반만 해도 껴줄 텐데
신나는,포즈 잡아 내가 알려줄 테니
신나는,팔 발 모아 차렷
신나는,하는 걸 하기나 해
신나는,남의 거 탐이나 해
신나는,아니면 Come here yo hop in my back
신나는,버스비는 안 받을게
신나는,손잡이 꽉 잡아 Bruh (whoo whoo whoo whoo)
신나는,목까지 탁 숨차 Bruh (whoo whoo whoo)
신나는,Let me breathe
신나는,오락가락 Lookin' like a ball
신나는,안 맞는 걸 왜 입을라고
신나는,병 걸렸단 소리 들을라 너
신나는,우리가 할 테니 넌 좀 쉬어 어
신나는,붉은 조명 아래로 번진
신나는,그림자를 타고 저 멀리 Surfing
신나는,마음만 아주 높이 앞서지 말고
신나는,한 번 해봐 Show me what u got
신나는,놀아놀아놀아놀아
신나는,그만
신나는,"차렷, 열중쉬어"
신나는,아주 빠져가지고
신나는,(뚜두두두 뚜두두두)
신나는,Yes sir
신나는,느려터져가지고
신나는,Tell me that you like that
신나는,춤을 추지 우린 내일 따윈 가치 따윈 이유 따윈 없어도
신나는,아무것도 입지 않은 듯이 자유롭게 무대 위를 누비고
신나는,Tell me that u love me
신나는,Tell me that u love what you're lookin'
신나는,버스 운행할 때 우린 우리끼리 부릉부릉부릉부릉
신나는,작작해라 항마력 딸려 못 보겠다 푼치들
신나는,쥐락펴락 Feeling like a boss
신나는,발목이나 잡지 말아줘
신나는,We gon get it pop it
신나는,We gon we gon get it (리듬 타)
신나는,저기 뒤로 가서 넌 좀 쉬어 어
신나는,다다다
신나는,빠져버려 나사
신나는,뚜껑 열리고
신나는,던져버려 싹 다
신나는,풀어버리고
신나는,진돗개같이 짖어
신나는,닥치고 쉬어
신나는,오늘 밤은 특별했으면 해 브라더
신나는,술 들어가니까 기분이 들떠 더
신나는,전화 걸어 길 형
신나는,Yeah ma 빅 브라더
신나는,오케이 때리시고 바로 클럽으로 Go
신나는,리듬파워 취한 티 내다
신나는,몸개그 할 거면 집에 돌아가
신나는,딱 내 눈에 보인 그녀는 168 48의
신나는,Ma style 바로 쫓아가
신나는,내 입 모양은 OMG
신나는,최자 형은 설리
신나는,내 옆에는 오늘 너겠지
신나는,난 호랑나비 꽃을 못 지나쳐
신나는,예쁜 귀 좀 잠시 내게 빌려줘
신나는,1차는 클럽에서 막 들이대
신나는,2차는 All pass하고 들이대
신나는,싫지 않은 눈빛으로 술이 된
신나는,당신의 눈동자에 건배
신나는,3차로 갈 수 있다면 더 들이대
신나는,내 막차는 첫차 올 때 나가리 돼
신나는,절대 식지 않아
신나는,고삐 풀린 망아지
신나는,난 밤새 막 달리며 춤을 춰
신나는,호랑나비 한 마리가
신나는,간만에 놀러 Yeah
신나는,지금 난 쇼미 댄스 클럽에
신나는,위치하고 있지
신나는,느낌 있게 직진하는
신나는,내 걸음걸이
신나는,흥국이 형의 엣지 Whoo
신나는,8년 차 짬에서
신나는,나오는 내 Vibe
신나는,노리지 선배답게 후배 위에
신나는,용현동 미친개
신나는,놀 때는 Doggy Style
신나는,이제는 올라갈게 정상 위에
신나는,인천 언니 중에 네가 내 눈에 딱
신나는,들어왔고 내 걸로 만드는 말발
신나는,Hey 됐고 일단 네 번호 불러
신나는,Yeah 그럼
신나는,이따 전화할게 Tonight
신나는,절대 식지 않아 고삐 풀린 망아지
신나는,It's ur Boi B
신나는,쇼미더머니 만수르
신나는,예쁜 아가씨들 손 내밀어서 악수
신나는,저번 달과 다른 반응에 좀 놀랐어
신나는,TV 나오라던 엄마 말이 맞았어
신나는,Pay day ma 밤을 새워
신나는,Boom boom pow
신나는,구월동과 홍대를 지나
신나는,뱅뱅사거리까지
신나는,나의 목소리를 박아
신나는,I'm back 물론
신나는,With my team 리듬파워
신나는,나나나나나나나 나나나나나나나
신나는,You and me in the moonlight
신나는,별 꽃 축제 열린 밤
신나는,파도 소리를 틀고 춤을 추는 이 순간
신나는,이 느낌 정말 딱야!
신나는,바다야 우리와 같이 놀아
신나는,바람아 너도 이쪽으로 와
신나는,달빛 조명 아래서 너와 나와 세상과
신나는,"다 같이 Party all night long, yeah, it's good"
신나는,If you wanna have some fun
신나는,짭짤한 공기처럼 이 순간의 특별한
신나는,행복을 놓치지마
신나는,"One two three, let's go"
신나는,저 우주 위로 날아갈 듯 춤추러 가
신나는,Hey! Let's dance the night away
신나는,Let's dance the night away
신나는,저 바다 건너 들릴 듯 소리 질러 let's dance the night away
신나는,Dance the night away
신나는,You and me in this cool night
신나는,미소 짓는 반쪽 달
신나는,그 언젠가 너와 나 저 달 뒷면으로 가
신나는,파티를 열기로 약속 yeah it's good
신나는,은빛 모래알처럼 이 순간의 특별한
신나는,행복을 놓치지 마
신나는,오늘이 마지막인 듯 소리 질러 저 멀리
신나는,끝없이 날아오를 듯 힘껏 뛰어 더 높이
신나는,쏟아지는 별빛과 Let's dance the night away
신나는,신난다 난난다 라라라랄라
신나는,아무것도 하기 싫고 다 때려치고 싶은 날이면 yeah
신나는,아무 걱정 하지 말고 singing 라라라라
신나는,집구석 방구석 갇혀있음 뭐해 (뭐해) 집에서 아무것도 안 하면 너 뭐해 (뭐해)
신나는,이리 나와서 나와 같이 노래해 눈치 보지 말고 다 같이 신난다 난난다
신나는,기다리던 여름이야 다 같이 신난다 난난다
신나는,파라 파라 파란 여름이야 hey hey
신나는,태양이 내리쬐는 찌는 듯한 더위 (더위) 1분 1초가 아까워 이 무대 (무대)
신나는,포기하자 쓸데없는 너의 고민 눈치 보지 말고 다 같이 신난다 난난다
신나는,Let's Dance Let's baby dance dance
신나는,Drop This Dance with me
신나는,떨리는 밤 아주 멋진 tonight 설레는 밤 너와 나 너와 나 tonight
신나는,Can't stop now now now 이 여름 밤밤밤 baby
신나는,뜨거워 Summer Night
신나는,Wo oh oh~~~eh oh Wo oh oh~~~eh oh
신나는,Can't stop now now now 이 여름 밤밤밤 우리 신나는 오늘 밤
신나는,라라라랄라
신나는,Yeah 지금까지 신이 나지 않고 뛰어놀지 않았다면
신나는,아무 걱정 하지 말고 Singing ya ya ya ya 야야
신나는,홀가분하게 그냥 던지고 나와 파랗게 파랗게 더 깊이 들어가 잠수함
신나는,여기저기 헤엄쳐 물 만난 물고기처럼 놀고 싶음 여기 붙어 신난다 난난다
신나는,파라 파라 파란 여름이야 날 따라와 봐 follow
신나는,아무렴 어때 괜찮아 solo 상관없이 누구든 gogo
신나는,모두 다 같이 say lalala 모두 다 같이 say lalala
신나는,Drop This dance with me
신나는,신난다 난난다 신난다 난난다
신나는,야야야야
신나는,"속도는 fast, 뛰어봐 everyday"
신나는,불타올라 오늘만큼은 flyday night
신나는,비행하기 전 보여줘 너의 passport
신나는,시동 걸어 분위기는 지금 가열
신나는,붉게 타오르는 paradise
신나는,널 데려갈 그곳의 fire
신나는,심장 깊숙이 핀 열대야
신나는,그 열긴 점점 더 higher
신나는,"Get up, get up 내가 잡아줄게"
신나는,"Wake up, wake up 오직 앞만 봐봐"
신나는,"Welcome, welcome 전부 다 태워볼까"
신나는,가슴이 뛰는 대로
신나는,신나는 Friday night 긴 말은 생략할게 (Livin' it up)
신나는,기횐 단 한 번뿐
신나는,마지막까지 미친 듯 울려 fanfare (Livin' it up)
신나는,뜨겁게 (da la da)
신나는,숨돌릴 틈 없이 24/7
신나는,맘의 문을 부셔
신나는,지금부터 시끄럽게 take it away
신나는,과감히 너를 던져도 돼
신나는,Let's livin' it up
신나는,Tik tik tok tok 시간의 제약조차도
신나는,여기에는 없어 young forever
신나는,What you waiting for? 드러내자고
신나는,아직 보지 못한 너의 표정을
신나는,또 반복된 꿈을 꾼 거니
신나는,뒤엉켜버린 desire
신나는,이곳은 누군가의 insomnia
신나는,불 꺼지지 않는 세상
신나는,지치지 않고 타올라
신나는,어둠이 사라지는 밤
신나는,정신없이 달려 (정신없이 달려)
신나는,모든 걸 뒤로 던져놔 (모든 걸 뒤로 던져)
신나는,지금이 아니면 사라져버릴 걸
신나는,바싹 마른 마음에 make it rain
신나는,더욱더 빛나는 day by day
신나는,소리 질러 자 loud loud 더 크게
신나는,Ya ya everybody jump jump
신나는,보여줘 너만의 pandora's box
신나는,숨은 그 본 모습의 MONSTA에 데일 것만 같아
신나는,아무도 없는 까만 밤에 빛이 나는 네온의 light
신나는,우리도 모르는 사이에 서로에 가까이 dive
신나는,내일 따위 전부 잊고 shall we dance
신나는,"지금 come closer, 오늘 밤은 won't stop"
신나는,마지막까지 미친 듯 울릴 fanfare (Livin' it up)
신나는,"Yeah, one time for your mind"
신나는,"한 번뿐인 인생, 아무도 모르는 인생"
신나는,Just follow me
신나는,춤을 춰요
신나는,다 함께 춤을 춰요
신나는,리듬 속에 몸을 맡겨봐요
신나는,웃음이 절로 나는
신나는,SUMMER DANCE
신나는,무더위를 다 함께 날려버려
신나는,하늘 높이 소릴
신나는,함께 질러봐
신나는,이번 여름을
신나는,시원하게 이겨보세요
신나는,어깨를 펴고
신나는,같이 춤을 춰봐요
신나는,신나는 리듬 박자를 타고
신나는,몸을 흔들어요
신나는,땀나면 어때
신나는,지친 마음 던져버리고
신나는,신나는 음악
신나는,크게 틀면서 춤을 춰봐요
신나는,모두 신나게 춤춰요
신나는,모든 걸 잊고서 춤을 춰
신나는,짜증 났던 일들 지우고
신나는,사랑을 찾아서 춤춰봐
신나는,즐겁게 춤춰요
신나는,마음껏 웃으면서 즐겁게
신나는,행복이 느껴질 수 있게
신나는,흥겹게 춤을 춰봐
신나는,짜증 난다고
신나는,울상 짓지 말아요
신나는,모든 건 마음먹기 달렸죠
신나는,다 털어버려요
신나는,이겨내봐요
신나는,숨이 막힐듯한 무더위
신나는,신나는 리듬 몸을 맡기고
신나는,춤을 춰봐요
신나는,다같이 돌자 동네 한바퀴
신나는,나와서 놀자 동네 두바퀴
신나는,뭐라도 하자구 동네 세바퀴
신나는,모두 미쳐서 뛰어 나와 다다다다
신나는,부비붐 부비붐 부비붐
신나는,부비부비부비
신나는,부비부비부비부비
신나는,나는 멋쟁이 신사가 되고싶었어
신나는,가는 시간은 일초라도 잡고 싶었어
신나는,"이제는 사라진 클럽, 나이트"
신나는,갈수없지만 에라 모르겠다
신나는,이름이나 외워보자 하하하하
신나는,마음은 아이돌 but
신나는,내 몸은 굳어가는 그냥 돌처럼
신나는,딱딱해져만 가 걸림돌 되어버린
신나는,남자나이 서른 그래도 군대는
신나는,갔다 왔잖아 힘내자
신나는,아오 예비군만 빼고
신나는,다같이 놀자
신나는,밤새 놀고는 싶어 이밤은 길어
신나는,자꾸 늘어만 가는 이놈의 잉여
신나는,이제는 한번 나가놀면
신나는,일년짜리 추억이 되고
신나는,오늘도 내일도 죽어도 go go go
신나는,남자나이 서른 하지만 생각하기
신나는,나름 나는 그래도 서른 서른 서른셋
신나는,숨 쉬고 있어 나 이젠 살아있음을 느껴
신나는,내 심장이 뛰어 bounce
신나는,나 잠들어있던 이불 속 니가 파고 들어와
신나는,내 몸을 간지럽히네
신나는,순간 코끝이 찡해져 my love 뜨거워져 넌
신나는,살랑이는 바람 타고 와 (wait a little girl)
신나는,Oh love (get ready for me)
신나는,Oh love (coming to you now)
신나는,내 맘속에 파고 들어와
신나는,All night long all night long
신나는,잠들기 아까운 밤
신나는,눈을 맞춰 너를 놔둬
신나는,지금 뜨는 해를 잡지 말아줘
신나는,All night long 밤새
신나는,해 뜰 때까지 널 붙잡고
신나는,얘기하고 싶어
신나는,All night long 이 밤
신나는,너와 함께 춤을 출 거야
신나는,I won't let you down
신나는,All night long
신나는,몇 겹에 싸인 나른한
신나는,니 목소릴 듣고 싶어
신나는,Phone 너머 들리는
신나는,어느샌가 떠오르는 생각
신나는,이 밤이 지나가기 전에 fade out
신나는,빛을 따라가다 어느샌가
신나는,니 옆에 도착했어 어디 못 가
신나는,밤하늘에 달도 우릴 보며 웃음 지어
신나는,Up all night long 난 너와 함께 숨을 쉬어
신나는,얼굴 붉혀 먹구름 뒤에 숨지 않게
신나는,같은 꿈을 꿔 baby 나와 all night long
신나는,너의 울림이 내 안에 닿으면
신나는,나를 흔들어 내 맘을 깨우네
신나는,이젠 nothing's gonna stop us
신나는,이 떨림이 계속돼
신나는,영원하길 바래
신나는,왜들 그리 다운돼있어?
신나는,뭐가 문제야 say something
신나는,분위기가 겁나 싸해
신나는,요새는 이런 게 유행인가
신나는,왜들 그리 재미없어?
신나는,아 그건 나도 마찬가지
신나는,Tell me what I got to do
신나는,급한 대로 블루투스 켜
신나는,아무 노래나 일단 틀어
신나는,아무거나 신나는 걸로
신나는,아무렇게나 춤춰
신나는,아무렇지 않아 보이게
신나는,아무 생각 하기 싫어
신나는,아무개로 살래 잠시
신나는,I'm sick and tired of my everyday
신나는,Keep it up 한 곡 더
신나는,아무렴 어때 It's so boring
신나는,아무래도 refresh가 시급한 듯해 쌓여가 스트레스가
신나는,배꼽 빠질 만큼만 폭소하고 싶은 날이야
신나는,What up my dawgs 어디야 너희
신나는,올 때 병맥주랑 까까 몇 개 사 와 huh
신나는,클럽은 구미가 잘 안 당겨
신나는,우리 집 거실로 빨랑 모여
신나는,외부인은 요령껏 차단 시켜
신나는,밤새 수다 떨 시간도 모자라
신나는,누군 힘들어 죽겠고 누군 축제
신나는,괜히 싱숭생숭 I want my youth back
신나는,좀 전까지 왁자지껄
신나는,하다 한 명 두 명씩 자릴 떠
신나는,떠나질 못할 바엔
신나는,창밖은 쳐다도 안 봐
신나는,회까닥해서 추태를 부려도
신나는,No worries at all
신나는,이미지 왜 챙겨 그래 봤자 우리끼린데
신나는,Ohh 늦기 전에 막판 스퍼트
신나는,20대가 얼마 안 남았어
신나는,편한 옷으로 갈아입어
신나는,You look nice
신나는,get'em high
신나는,얼핏 보면 그냥 코미디
신나는,이렇게 무해한 파티 처음이지?
신나는,만감이 교차하는 새벽 2시경
신나는,술잔과 감정이 소용돌이쳐
신나는,아무 노래나 일단
신나는,아무 노래 아무 노래 아무 노래나 틀어봐
신나는,아무 노래 아무 노래 아무 노래나 KOZ
신나는,불타오르네
신나는,Fire
신나는,When I wake up in my room 난 뭣도 없지
신나는,해가 지고 난 후 비틀대며 걷지
신나는,다 만신창이로 취했어 취했어
신나는,막 욕해 길에서 길에서
신나는,나 맛이 갔지 미친놈 같지
신나는,"다 엉망진창, livin' like 삐-이-"
신나는,니 멋대로 살어 어차피 니 꺼야
신나는,애쓰지 좀 말어 져도 괜찮아
신나는,Errbody say La la la la la (La la la la la)
신나는,Say La la la la la (La la la la la)
신나는,손을 들어 소리질러 Burn it up
신나는,싹 다 불태워라 Bow wow wow
신나는,"Hey, burn it up"
신나는,전부 다 태울 것 같이
신나는,"Hey, turn it up"
신나는,새벽이 다 갈 때까지
신나는,그냥 살아도 돼 우린 젊기에
신나는,그 말하는 넌 뭔 수저길래
신나는,수저수저 거려 난 사람인데
신나는,(So what~)
신나는,(Fire) 겁 많은 자여 여기로
신나는,(Fire) 괴로운 자여 여기로
